kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K04963.01,59.4038,0.294,1.61,Super-Earth,0.961,6373.0,2.1633,1.3973,2.015,False,11.679
K00076.01,77.4797,0.4171,8.22,Gas Giant,1.612,6715.0,9.6584,2.9524,4.2577,False,10.143
K06181.01,24.0764,0.1528,56.19,Super-Jupiter,0.821,4700.0,60.2595,7.3746,10.6349,False,11.43
K06183.01,4.3269,0.0517,108.74,Super-Jupiter,0.984,6231.0,3.0471,1.6583,2.3915,False,13.253
K04212.02,10.099,0.0926,1.06,Rocky (Earth-like),1.038,6185.0,1.5513,1.1832,1.7064,False,13.96
K04605.01,7.786,0.0767,0.71,Rocky (Earth-like),0.994,6045.0,1.0904,0.992,1.4306,False,13.515
K04713.01,8.7964,0.0834,0.99,Rocky (Earth-like),1.0,5780.0,1.0014,0.9507,1.371,False,13.641
K04715.01,53.2857,0.2579,1.32,Super-Earth,0.806,6015.0,1.3121,1.0882,1.5693,False,13.98
K04716.01,5.8944,0.0631,0.61,Rocky (Earth-like),0.964,6177.0,1.5604,1.1867,1.7113,False,12.322
K04833.01,4.3172,0.0515,1.05,Rocky (Earth-like),0.979,5992.0,1.9848,1.3384,1.9301,False,13.6
K04834.01,3.741,0.0546,1.74,Super-Earth,1.554,5110.0,6.3863,2.4008,3.4621,False,13.096
K04968.01,2.9454,0.0513,57.62,Super-Jupiter,2.07,4584.0,146.8775,11.5133,16.6034,False,11.557
K04972.01,26.0918,0.1759,1.12,Rocky (Earth-like),1.066,6348.0,1.498,1.1627,1.6768,False,13.98
K05207.01,18.9822,0.1287,0.65,Rocky (Earth-like),0.79,5830.0,0.7055,0.7979,1.1507,False,13.048
K05211.01,3.5645,0.044,0.57,Rocky (Earth-like),0.894,5461.0,0.5326,0.6933,0.9998,False,12.936
K05993.01,4.2647,0.0495,27.58,Super-Jupiter,0.887,6052.0,2.4167,1.4768,2.1298,False,12.873
K06079.01,15.2493,0.1228,99.64,Super-Jupiter,1.062,6385.0,2.1081,1.3793,1.9891,False,13.593
K06189.01,2.1799,0.0334,61.34,Super-Jupiter,1.043,6106.0,1.1638,1.0249,1.478,False,13.96
K06291.01,8.8324,0.0812,0.98,Rocky (Earth-like),0.914,6060.0,1.5532,1.184,1.7074,False,13.303
K04614.01,6.4547,0.072,1.22,Rocky (Earth-like),1.194,6475.0,3.0383,1.6559,2.388,False,13.784
K04980.01,2.976,0.0417,105.2,Super-Jupiter,1.09,6582.0,3.4242,1.7579,2.5351,False,11.287
K05220.01,1.5347,0.0344,31.85,Super-Jupiter,2.309,4961.0,124.7361,10.6101,15.3009,False,12.224
K05475.02,5.6832,0.0589,0.54,Rocky (Earth-like),0.844,6070.0,0.8031,0.8514,1.2277,False,13.093
K05744.01,30.6953,0.185,57.53,Super-Jupiter,0.897,6340.0,1.6318,1.2135,1.7501,False,12.508
K05752.01,1.3917,0.0234,35.67,Super-Jupiter,0.885,3749.0,631.346,23.8703,34.4234,False,13.71
K06194.01,42.2966,0.2991,9.18,Gas Giant,1.996,4902.0,25.7929,4.8247,6.9578,False,12.057
K06299.01,0.9476,0.0175,0.68,Rocky (Earth-like),0.799,5627.0,0.6004,0.7361,1.0616,False,13.853
K06385.01,9.7612,0.0949,96.04,Super-Jupiter,1.196,6468.0,6.5861,2.438,3.5159,False,13.773
K04226.01,49.5645,0.2751,1.71,Super-Earth,1.131,5818.0,2.2853,1.4361,2.0711,False,12.83
K04323.01,11.4958,0.1036,1.62,Super-Earth,1.123,6290.0,3.1852,1.6955,2.4451,False,13.582
K04421.01,4.727,0.0548,0.52,Rocky (Earth-like),0.981,6183.0,1.3165,1.09,1.5719,False,12.788
K04421.02,6.5596,0.0681,0.5,Rocky (Earth-like),0.981,6183.0,1.3165,1.09,1.5719,False,12.788
K04423.01,7.6521,0.0764,0.8,Rocky (Earth-like),1.014,6312.0,1.2853,1.077,1.5532,False,13.099
