kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K00682.01,562.1424,1.3669,10.8,Gas Giant,1.078,5592.0,1.4599,1.1479,1.6553,True,13.916
K00682.01,562.1726,1.3446,10.9,Gas Giant,1.026,5589.0,1.4546,1.1458,1.6523,True,13.916
K01463.01,580.0,1.3817,16.29,Super-Jupiter,1.046,6020.0,1.4077,1.1271,1.6255,True,12.328
K07880.01,623.7077,1.4471,1.81,Super-Earth,1.039,6626.0,2.2161,1.4142,2.0395,True,13.379
K07880.01,623.7077,1.4471,1.81,Super-Earth,1.039,6626.0,2.2161,1.4142,2.0395,True,13.379
K05059.01,646.2882,1.4645,29.48,Super-Jupiter,1.003,6484.0,2.2571,1.4272,2.0582,True,13.03
K05087.01,651.0743,1.4499,1.55,Super-Earth,0.959,5696.0,1.5018,1.1642,1.6789,True,12.524
K05087.01,651.0743,1.4499,1.55,Super-Earth,0.959,5696.0,1.5018,1.1642,1.6789,True,12.524
K01208.01,700.003,1.61,6.43,Gas Giant,1.136,6487.0,1.9859,1.3388,1.9306,True,13.594
K01168.01,856.6721,1.8017,3.87,Mini-Neptune,1.063,6449.0,2.6591,1.5491,2.234,True,13.997
