kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner,ESI,hz_center (AU),dist_from_hz_center (AU),hz_widths_from_center,radius_diff
7134626,K07818.01,2.5244,2.35,6.91,658.21484,0.0393,1.53,Super-Earth,1.266,6461.0,7.7401,2.643,3.8115,False,1,13.063,6000-7000K (F dwarf),2.6037,0.2662,3.2272499999999997,3.18795,2.728,0.53
6779260,K02678.02,2.2166,4.95,11.66,513425.90726,0.0319,0.48,Rocky,0.878,5397.0,0.5257,0.6888,0.9933,False,1,11.799,5000-6000K (G dwarf),0.6569,0.2656,0.84105,0.8091499999999999,2.657,0.52
4945877,K01936.01,1.3397,3.25,19.13,543.33289,0.0312,1.2,Rocky,2.256,9436.0,33.2163,5.4752,7.8958,False,1,10.455,>7000K (A star),5.444,0.2649,6.6855,6.6543,2.749,0.19999999999999996
12301181,K02059.02,2.1857,3.25,0.87,13.43719,0.0307,0.44,Rocky,0.806,4997.0,0.3113,0.5301,0.7644,False,1,12.906,4000-5000K (K dwarf),0.4994,0.2647,0.64725,0.61655,2.631,0.56
8396660,K04407.01,1.3381,3.8,5.34,40.19275,0.0257,0.6,Rocky,1.269,6355.0,2.5459,1.5158,2.186,False,1,11.179,6000-7000K (F dwarf),1.4901,0.2644,1.8509,1.8252,2.723,0.4
11709006,K08061.01,0.7197,2.2,1.89,5041519.59459,0.0162,0.57,Rocky,1.101,6014.0,1.1573,1.022,1.4738,False,1,8.777,6000-7000K (F dwarf),1.0058,0.2631,1.2479,1.2317,2.726,0.43000000000000005
9697131,K02706.01,3.0976,5.85,5.57,77948.45591,0.0464,1.8,Super-Earth,1.39,6491.0,5.7497,2.278,3.2851,False,1,10.268,6000-7000K (F dwarf),2.2316,0.2625,2.78155,2.73515,2.716,0.8
11456279,K03204.01,0.5729,0.95,10.54,196.90898,0.0156,1.57,Super-Earth,1.553,7338.0,6.6013,2.4408,3.52,False,1,11.825,>7000K (A star),2.4252,0.2612,2.9804,2.9648,2.747,0.5700000000000001
10646620,K07352.01,2.4133,2.3,4.69,122.23632,0.0369,0.5,Rocky,1.149,6640.0,2.227,1.4177,2.0445,False,1,13.253,6000-7000K (F dwarf),1.3808,0.2604,1.7311,1.6942000000000002,2.703,0.5
11013201,K00972.02,7.8226,7.0,10.52,928.88482,0.0981,1.73,Super-Earth,2.06,8002.0,31.3653,5.3205,7.6727,False,1,9.275,>7000K (A star),5.2224,0.2602,6.4966,6.3985,2.72,0.73
8579684,K07594.01,2.088,1.25,19.73,74.25718,0.0352,1.93,Super-Earth,1.335,6593.0,4.7278,2.0656,2.9788,False,1,12.579,6000-7000K (F dwarf),2.0304,0.2592,2.5221999999999998,2.4869999999999997,2.723,0.9299999999999999
7905106,K04582.01,4.2243,4.6,8.89,21.74434,0.0494,0.35,Rocky,0.903,5735.0,0.7567,0.8264,1.1918,False,1,11.756,5000-6000K (G dwarf),0.777,0.259,1.0091,0.9597000000000001,2.626,0.65
9006186,K02169.04,2.1925,3.75,14.02,512.97503,0.0324,0.37,Rocky,0.944,5450.0,0.5612,0.7117,1.0263,False,1,12.404,5000-6000K (G dwarf),0.6793,0.2564,0.869,0.8366,2.659,0.63
