kepid,kepoi_name,catalog_period,detected_period,period_match_pct,bls_power
7983117,K03214.02,25.0902,2.8,77.68,26.14732
7287683,K01622.01,69.8348,1.1,96.85,105.29029
9214176,K05640.01,348.666,9.4,94.61,209.05607
9906489,K07249.01,8.9651,2.85,36.42,24.31083
8494783,K06180.02,58.9256,5.6,80.99,2687.02156
9588822,K04388.02,61.8589,3.1,89.98,2706.72689
5174492,K06534.01,0.7206,3.9,80.4,20103.50179
11187972,K07416.01,37.4647,1.4,92.53,30.59404
9145861,K06194.01,42.2966,0.5,97.64,622.23477
11820830,K01728.01,12.7319,1.0602,83.35,127854.8187
5894182,K07750.01,494.4851,5.2,97.9,1106.6317
11097752,K05867.01,359.8455,25.4,85.88,2262.45257
4139254,K06108.01,485.923,9.8,95.97,503.43222
10616656,K05814.01,25.2852,2.2,82.6,13.95742
9221398,K06066.01,13.7875,9.5998,30.37,745.78835
10932270,K07389.01,27.5838,6.3,54.32,523.99659
5652983,K00371.01,498.3928,1.6,99.36,34.9229
6837283,K02914.01,21.1182,5.8218,44.86,75.15167
5544450,K03226.02,6.9365,1.4,59.63,910.53771
7974634,K06168.02,75.073,2.7,92.81,991.03202
12401859,K05967.01,22.8632,5.0726,55.63,129.26995
3240159,K03515.01,82.1376,2.8,93.18,69.5977
6470149,K01230.01,165.7419,30.8,62.83,3860.92877
9288237,K03114.01,7.4913,1.3,65.29,46.39674
11804437,K04878.01,449.015,8.2,96.35,17.04462
10685764,K05822.01,17.6343,5.6492,35.93,31.69672
7902003,K03236.01,7.1304,1.75,50.91,27.7239
11336883,K01445.02,54.3256,3.9,85.64,53.85777
5819801,K04686.01,11.831,7.45,25.94,13.87243
7672940,K01463.01,580.0,4.5,98.45,109.73095
11456256,K05901.01,61.6104,2.2,92.86,20.02137
8307489,K05502.01,421.9819,1.0,99.53,35.20762
10978581,K05847.01,277.1143,8.4,93.94,738.65331
10907307,K08217.01,277.2512,19.2,86.15,8152.0207
10552263,K05806.01,313.8275,3.4,97.83,23.27182
6309307,K05262.01,438.984,3.0,98.63,324.67024
3660581,K07662.01,4.7252,1.45,38.63,4606.55404
5734702,K05196.01,392.4729,1.0,99.49,89.03925
4764969,K06450.01,0.6023,3.55,96.48,1020.72276
2861298,K04958.01,581.729,3.1,98.93,44.22589
6145939,K05243.01,17.7454,1.7067,80.76,700247.77285
5650930,K05188.01,455.1955,3.0,98.68,573.7097
6850665,K03244.01,214.7181,7.7,92.83,666.10544
8395870,K05511.01,74.8336,0.7,98.13,24.94713
8937555,K05585.01,113.5739,10.7,81.16,186.95857
4548011,K04288.02,9.0875,2.8,38.38,26.29241
9217583,K05642.01,222.2806,1.2,98.92,612.46007
10917433,K03248.01,6.9126,0.5,85.53,11.09793
4150972,K05044.01,161.5377,10.4,87.12,13.93885
10879899,K05839.01,169.4151,5.7,93.27,630.76051
5858919,K08109.01,218.7711,5.5,94.97,2949.03991
5954894,K05213.01,48.2456,2.9,87.98,12.69171
11775507,K06245.01,144.1026,2.2,96.95,594.6736
8165617,K06173.01,214.013,6.6,93.83,258.80137
11147785,K05873.01,217.1701,4.9,95.49,1737.41112
4072271,K07680.01,219.2058,1.0,99.09,69.31536
9026248,K05603.01,341.5579,4.3,97.48,151.96045
5436455,K05164.01,209.9675,3.4,96.76,14.68112
7009548,K05341.01,15.1858,3.1727,58.21,42782.45209
5130740,K03583.01,210.3063,5.6,94.67,10509.71618
9957668,K05744.01,30.6953,5.4,64.82,32072.53276
4346339,K05057.01,493.7424,9.3,96.23,341.44038
7282470,K05379.01,520.6552,1.7,99.35,91.19343
11969988,K04011.01,2.1907,0.5,54.35,10.97823
4770798,K05087.01,651.0743,2.6,99.2,14.53733
4950557,K06483.01,24.7148,5.0475,59.15,253079.29611
9157523,K05629.01,192.1387,9.2,90.42,29.22376
2834805,K07638.01,25.0032,8.1,35.21,3474.26254
8741367,K05566.01,0.9887,4.7,58.47,453.62169
3230787,K06101.01,17.734,4.969,43.96,8350.58839
10163067,K07291.01,25.9147,2.9,77.62,197.3
8197406,K05486.01,4.1547,0.8,61.49,80756.99249
9286088,K04318.01,14.8162,1.9816,73.25,357.02693
10656842,K05816.01,82.5081,9.3,77.46,624.47166
8242350,K05493.01,6.9935,4.45,27.26,1673.89027
4055765,K00100.01,9.9664,2.85,42.81,327.42396
8076215,K05472.01,97.5137,4.9,89.95,92.91233
2305866,K02610.02,115.2307,2.6,95.49,294.39595
10198225,K07991.01,11.9451,8.9,25.49,119.29596
5039053,K05121.01,401.2044,4.2,97.91,11.53729
7100673,K04032.05,7.2352,2.4,33.66,12.03244
7778427,K04482.01,5.383,0.75,72.13,12.48692
9084569,K07923.01,395.1314,9.5,95.19,21.76559
7137213,K03907.01,28.6434,2.1,85.34,2206.65155
2443393,K02603.01,73.711,28.9,21.59,57.96198
5036052,K05119.01,143.1637,9.6,86.59,136.83894
4253860,K05052.01,155.0453,0.8,98.97,724.99892
8288404,K05498.01,519.7981,6.6,97.46,852.21546
11182706,K08046.01,384.3771,8.7,95.47,1731.66719
3965201,K07546.01,44.1139,1.9,91.39,360.76227
1723078,K07624.01,330.025,2.6,98.42,203.39937
9716028,K04273.01,17.3733,4.8781,43.84,21.89183
4840327,K05093.01,26.7371,8.4,37.17,9.89473
