kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner
7051180,K00064.01,1.9511,2.25,15.32,3966.70086,0.033,10.35,Gas Giant,1.258,5302.0,4.1728,1.9406,2.7986,False,1,13.143,5000-6000K (G dwarf),1.9076
8559796,K07057.01,0.6193,1.15,7.16,31489.00644,0.016,5.93,Gas Giant,1.434,7105.0,7.7744,2.6489,3.8199,False,1,13.154,>7000K (A star),2.6329
6523351,K03117.01,6.0666,6.95,14.56,615.48157,0.0643,0.87,Rocky,0.963,5569.0,0.6866,0.7872,1.1352,False,1,13.163,5000-6000K (G dwarf),0.7229
6277594,K05255.01,3.6607,6.75,7.8,22.49609,0.0474,0.55,Rocky,1.058,6354.0,1.776,1.266,1.8258,False,1,13.164,6000-7000K (F dwarf),1.2186
7900450,K05441.01,25.4805,10.5,17.58,972.33133,0.1724,1.25,Super-Earth,1.052,6250.0,1.331,1.096,1.5805,False,1,13.181,6000-7000K (F dwarf),0.9236
1429589,K04923.01,38.1687,20.5,7.42,64.94666,0.2238,1.4,Super-Earth,1.026,6164.0,2.7798,1.5839,2.2842,False,1,13.195,6000-7000K (F dwarf),1.3601
6058816,K03500.02,4.7484,2.25,5.23,22.34086,0.0551,0.57,Rocky,0.988,6085.0,1.1384,1.0136,1.4617,False,1,13.214,6000-7000K (F dwarf),0.9585
5096053,K04331.01,1.7179,2.75,6.72,376.59426,0.0306,1.34,Super-Earth,1.299,6674.0,4.7701,2.0749,2.9922,False,1,13.228,6000-7000K (F dwarf),2.0443
11182260,K07415.01,1.292,1.3,0.62,7374712.82711,0.0198,10.97,Gas Giant,0.625,4995.0,0.2273,0.453,0.6532,False,1,13.238,4000-5000K (K dwarf),0.4332
10319385,K01169.01,0.6892,0.7,1.57,23.13383,0.0156,1.32,Super-Earth,1.064,5630.0,0.8204,0.8605,1.2409,False,1,13.248,5000-6000K (G dwarf),0.8449
8590780,K06183.01,4.3269,3.85,11.02,490390.87126,0.0517,108.74,Super-Jupiter,0.984,6231.0,3.0471,1.6583,2.3915,False,1,13.253,6000-7000K (F dwarf),1.6066
10646620,K07352.01,2.4133,2.3,4.69,122.23632,0.0369,0.5,Rocky,1.149,6640.0,2.227,1.4177,2.0445,False,1,13.253,6000-7000K (F dwarf),1.3808
4349442,K01803.01,4.5393,7.9,12.98,30330.60211,0.0495,2.34,Mini-Neptune,0.783,4914.0,0.2742,0.4975,0.7174,False,1,13.26,4000-5000K (K dwarf),0.448
9117416,K03425.03,7.6436,9.75,14.96,319.52427,0.0818,1.59,Super-Earth,1.251,6120.0,5.0345,2.1316,3.074,False,1,13.266,6000-7000K (F dwarf),2.0498
7673192,K02722.05,16.5339,14.9176,9.78,650.25241,0.1327,1.21,Rocky,1.14,6522.0,2.3964,1.4706,2.1208,False,1,13.268,6000-7000K (F dwarf),1.3379
