kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner
8848104,K07100.01,0.8249,1.65,0.02,63257.45392,0.016,78.0,Super-Jupiter,0.798,5658.0,2.5154,1.5067,2.1728,False,1,12.372,5000-6000K (G dwarf),1.4907
6928906,K03242.01,1.5495,4.15,10.72,15.89518,0.0329,1.32,Super-Earth,1.976,7382.0,20.948,4.3481,6.2703,False,1,12.374,>7000K (A star),4.3152
12418816,K07533.01,0.7609,1.5,1.44,5731961.04854,0.0131,35.84,Super-Jupiter,0.523,4675.0,0.1119,0.3178,0.4583,False,1,12.402,4000-5000K (K dwarf),0.3047
9006186,K02169.04,2.1925,3.75,14.02,512.97503,0.0324,0.37,Rocky,0.944,5450.0,0.5612,0.7117,1.0263,False,1,12.404,5000-6000K (G dwarf),0.6793
3547178,K06342.01,8.1771,15.05,7.97,908.51482,0.0799,0.78,Rocky,1.017,6501.0,2.3424,1.454,2.0968,False,1,12.419,6000-7000K (F dwarf),1.3741
12602999,K08082.01,8.2766,4.6,11.16,440.05053,0.0936,2.48,Mini-Neptune,1.596,6787.0,14.4283,3.6085,5.2039,False,1,12.43,6000-7000K (F dwarf),3.5149
10066755,K07281.01,2.4651,2.15,12.78,1001778.41655,0.0395,1.14,Rocky,1.356,6881.0,5.9091,2.3093,3.3303,False,1,12.446,6000-7000K (F dwarf),2.2698
8112013,K06969.01,1.7905,0.9,0.53,199523.08379,0.0301,32.19,Super-Jupiter,1.131,6586.0,2.5083,1.5046,2.1698,False,1,12.45,6000-7000K (F dwarf),1.4745
8758161,K07087.01,0.9982,1.0,0.18,131527.3593,0.0213,79.52,Super-Jupiter,1.292,6980.0,6.5594,2.4331,3.5088,False,1,12.457,6000-7000K (F dwarf),2.4118
5563057,K05179.01,1.0495,1.05,0.05,24.20691,0.023,0.84,Rocky,1.469,7479.0,7.8007,2.6533,3.8264,False,1,12.519,>7000K (A star),2.6303
9724993,K05708.01,7.8634,11.4,3.35,531182.92216,0.0808,31.85,Super-Jupiter,1.136,5738.0,3.7135,1.8307,2.64,False,1,12.524,5000-6000K (G dwarf),1.7499
4245897,K06395.01,11.2578,6.05,7.48,29517623.96842,0.1079,20004.7,Super-Jupiter,1.322,6915.0,7.2121,2.5513,3.6792,False,1,12.538,6000-7000K (F dwarf),2.4434
2305543,K04936.01,0.6811,1.35,0.9,4875909.65307,0.0141,46.44,Super-Jupiter,0.811,5872.0,0.7963,0.8477,1.2225,False,1,12.545,5000-6000K (G dwarf),0.8336
6029239,K00304.02,5.5182,6.75,18.45,46.2221,0.0607,0.46,Rocky,0.979,5767.0,0.7703,0.8338,1.2024,False,1,12.549,5000-6000K (G dwarf),0.7731
8579684,K07594.01,2.088,1.25,19.73,74.25718,0.0352,1.93,Super-Earth,1.335,6593.0,4.7278,2.0656,2.9788,False,1,12.579,6000-7000K (F dwarf),2.0304
9109857,K02833.01,1.7919,1.8,0.45,17.39906,0.0303,1.48,Super-Earth,1.156,6002.0,5.3272,2.1927,3.162,False,1,12.599,6000-7000K (F dwarf),2.1624
5172274,K06533.01,6.1265,8.95,2.61,6799.51209,0.076,1.55,Super-Earth,1.563,6903.0,5.4393,2.2156,3.1952,False,1,12.625,6000-7000K (F dwarf),2.1396
10295951,K01154.01,6.8108,3.1,8.97,6585.37141,0.0798,26.06,Super-Jupiter,1.461,7226.0,10.5728,3.089,4.4547,False,1,12.628,>7000K (A star),3.0092
9072639,K04198.01,1.1829,1.45,18.28,12.7438,0.0237,1.26,Super-Earth,1.269,6017.0,8.1901,2.7187,3.9207,False,1,12.638,6000-7000K (F dwarf),2.695
8394475,K07032.01,3.6405,3.85,5.76,8.32788,0.0457,0.66,Rocky,0.961,5955.0,1.1081,1.0,1.4421,False,1,12.646,5000-6000K (G dwarf),0.9543
9541295,K03132.01,0.5367,1.7,5.59,24.4645,0.0138,1.35,Super-Earth,1.22,6020.0,4.7134,2.0625,2.9743,False,1,12.649,6000-7000K (F dwarf),2.0487
10028352,K01957.01,1.3868,1.75,15.87,16255.39806,0.0288,29.33,Super-Jupiter,1.66,6823.0,8.0681,2.6984,3.8914,False,1,12.655,6000-7000K (F dwarf),2.6696
9943009,K07258.01,2.4376,4.95,1.53,152.58491,0.0368,0.79,Rocky,1.118,5927.0,2.5919,1.5294,2.2056,False,1,12.66,5000-6000K (G dwarf),1.4926
9936080,K04431.01,19.5651,9.3434,4.49,64.00194,0.1505,1.13,Rocky,1.188,6350.0,2.8347,1.5995,2.3066,False,1,12.674,6000-7000K (F dwarf),1.449
5039228,K01597.01,7.7967,14.9,4.45,964.0681,0.0861,2.68,Mini-Neptune,1.402,6443.0,3.1352,1.6821,2.4258,False,1,12.681,6000-7000K (F dwarf),1.596
4548098,K04157.02,5.2158,2.85,9.28,117.55972,0.0628,0.83,Rocky,1.213,6202.0,1.6711,1.2281,1.771,False,1,12.692,6000-7000K (F dwarf),1.1653
11199725,K07418.01,1.033,1.9,8.03,4407.10319,0.0287,22.55,Super-Jupiter,2.948,5283.0,251.2136,15.0572,21.7141,False,1,12.698,5000-6000K (G dwarf),15.0285
4472818,K03878.02,15.3573,7.3801,3.89,10775.52528,0.1222,1.42,Super-Earth,1.032,5818.0,0.9994,0.9497,1.3696,False,1,12.72,5000-6000K (G dwarf),0.8275
9243795,K07150.01,14.4431,7.4327,2.92,2368.44488,0.1328,390.85,Super-Jupiter,1.496,5759.0,12.2352,3.323,4.7921,False,1,12.732,5000-6000K (G dwarf),3.1902
11401253,K04823.01,4.9651,5.7,14.8,11703.58312,0.0566,1.37,Super-Earth,0.982,5339.0,2.9482,1.6312,2.3523,False,1,12.739,5000-6000K (G dwarf),1.5746
4770174,K02971.01,6.096,5.35,12.24,782.20871,0.0717,1.26,Super-Earth,1.325,6313.0,3.0669,1.6637,2.3992,False,1,12.742,6000-7000K (F dwarf),1.592
7051984,K02879.01,0.3391,0.85,16.44,27.92215,0.0102,2.09,Mini-Neptune,1.216,5653.0,4.3663,1.9851,2.8627,False,1,12.771,5000-6000K (G dwarf),1.9749
8454250,K01254.01,5.0827,9.65,5.07,8844.7308,0.0579,5.11,Gas Giant,1.0,5780.0,1.0014,0.9507,1.3709,False,1,12.777,5000-6000K (G dwarf),0.8928
9654875,K02272.01,1.3415,4.6,14.3,17.05785,0.0287,1.31,Super-Earth,1.754,7495.0,16.1588,3.8188,5.5071,False,1,12.783,>7000K (A star),3.7901
4285087,K06112.01,2.243,4.35,3.03,113774.75927,0.0327,91.85,Super-Jupiter,0.923,6181.0,2.7306,1.5698,2.2639,False,1,12.785,6000-7000K (F dwarf),1.5371
9836563,K04421.01,4.7269,6.85,3.39,17.80324,0.0569,0.61,Rocky,1.1,5950.0,1.6085,1.2049,1.7375,False,1,12.788,5000-6000K (G dwarf),1.148
9579641,K00115.03,3.4359,5.6,8.66,214.74263,0.0437,0.55,Rocky,0.941,5779.0,1.1824,1.033,1.4897,False,1,12.791,5000-6000K (G dwarf),0.9893
8227464,K06994.01,4.2591,7.0,9.57,47.92716,0.0515,0.83,Rocky,1.002,5858.0,2.5943,1.5302,2.2066,False,1,12.832,5000-6000K (G dwarf),1.4787
6965293,K06800.01,5.0777,2.6,2.41,840.6087,0.0585,72.26,Super-Jupiter,1.034,6178.0,2.4246,1.4792,2.1332,False,1,12.847,6000-7000K (F dwarf),1.4207
7106173,K03083.02,6.2321,12.05,3.32,120.68485,0.0691,0.61,Rocky,1.131,5843.0,1.2288,1.0531,1.5187,False,1,12.857,5000-6000K (G dwarf),0.984
